"","Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating"
"4","Wii Sports Resort","Wii","2009","Sports","Nintendo",15.61,10.93,3.28,2.95,32.77,80,73,79,192,"Nintendo","E"
"9","New Super Mario Bros. Wii","Wii","2009","Platform","Nintendo",14.44,6.94,4.7,2.24,28.32,87,80,83,594,"Nintendo","E"
"15","Kinect Adventures!","X360","2010","Misc","Microsoft Game Studios",15,4.89,0.24,1.69,21.81,61,45,62,106,"Good Science Studio","E"
"16","Wii Fit Plus","Wii","2009","Sports","Nintendo",9.01,8.49,2.53,1.77,21.79,80,33,73,52,"Nintendo","E"
"17","Grand Theft Auto V","PS3","2013","Action","Take-Two Interactive",7.02,9.09,0.98,3.96,21.04,97,50,81,3994,"Rockstar North","M"
"24","Grand Theft Auto V","X360","2013","Action","Take-Two Interactive",9.66,5.14,0.06,1.41,16.27,97,58,80,3711,"Rockstar North","M"
"28","Pokemon Black/Pokemon White","DS","2010","Role-Playing","Nintendo",5.51,3.17,5.65,0.8,15.14,NA,NA,1,NA,"",""
"30","Call of Duty: Modern Warfare 3","X360","2011","Shooter","Activision",9.04,4.24,0.13,1.32,14.73,88,81,33,8713,"Infinity Ward, Sledgehammer Games","M"
"32","Call of Duty: Black Ops 3","PS4","2015","Shooter","Activision",6.03,5.86,0.36,2.38,14.63,NA,NA,1,NA,"",""
"33","Call of Duty: Black Ops","X360","2010","Shooter","Activision",9.7,3.68,0.11,1.13,14.61,87,89,62,1454,"Treyarch","M"
"34","Pokemon X/Pokemon Y","3DS","2013","Role-Playing","Nintendo",5.28,4.19,4.35,0.78,14.6,NA,NA,1,NA,"",""
"35","Call of Duty: Black Ops II","PS3","2012","Shooter","Activision",4.99,5.73,0.65,2.42,13.79,83,21,52,922,"Treyarch","M"
"36","Call of Duty: Black Ops II","X360","2012","Shooter","Activision",8.25,4.24,0.07,1.12,13.67,83,73,47,2256,"Treyarch","M"
"37","Call of Duty: Modern Warfare 2","X360","2009","Shooter","Activision",8.52,3.59,0.08,1.28,13.47,94,100,62,2698,"Infinity Ward","M"
"38","Call of Duty: Modern Warfare 3","PS3","2011","Shooter","Activision",5.54,5.73,0.49,1.57,13.32,88,39,31,5234,"Infinity Ward, Sledgehammer Games","M"
"41","Mario Kart 7","3DS","2011","Racing","Nintendo",5.03,4.02,2.69,0.91,12.66,85,73,81,632,"Retro Studios, Entertainment Analysis & Development Division","E"
"42","Call of Duty: Black Ops","PS3","2010","Shooter","Activision",5.99,4.37,0.48,1.79,12.63,88,58,63,1094,"Treyarch","M"
"43","Grand Theft Auto V","PS4","2014","Action","Take-Two Interactive",3.96,6.31,0.38,1.97,12.61,97,66,82,2899,"Rockstar North","M"
"47","Pokemon HeartGold/Pokemon SoulSilver","DS","2009","Action","Nintendo",4.34,2.71,3.96,0.76,11.77,NA,NA,1,NA,"",""
"48","Pokemon Omega Ruby/Pokemon Alpha Sapphire","3DS","2014","Role-Playing","Nintendo",4.35,3.49,3.1,0.74,11.68,NA,NA,1,NA,"",""
"54","Super Mario 3D Land","3DS","2011","Platform","Nintendo",4.89,3,2.14,0.78,10.81,90,82,83,921,"Nintendo","E"
"55","Gran Turismo 5","PS3","2010","Racing","Sony Computer Entertainment",2.96,4.82,0.81,2.11,10.7,84,82,74,1112,"Polyphony Digital","E"
"56","Call of Duty: Modern Warfare 2","PS3","2009","Shooter","Activision",4.99,3.64,0.38,1.6,10.6,94,67,62,2073,"Infinity Ward","M"
"61","Call of Duty: Ghosts","X360","2013","Shooter","Activision",6.73,2.56,0.04,0.91,10.25,73,29,25,2117,"Infinity Ward","M"
"62","Just Dance 3","Wii","2011","Misc","Ubisoft",5.95,3.11,0,1.06,10.12,74,15,77,16,"Ubisoft","E10+"
"63","New Super Mario Bros. 2","3DS","2012","Platform","Nintendo",3.66,3.14,2.47,0.63,9.9,78,70,71,424,"Nintendo","E"
"65","Halo: Reach","X360","2010","Shooter","Microsoft Game Studios",7.04,1.95,0.08,0.79,9.86,91,99,78,2045,"Bungie","M"
"67","Halo 4","X360","2012","Shooter","Microsoft Game Studios",6.65,2.28,0.04,0.74,9.71,87,87,69,3260,"343 Industries","M"
"69","Just Dance 2","Wii","2010","Misc","Ubisoft",5.8,2.85,0.01,0.78,9.44,74,24,72,24,"Ubisoft","E10+"
"70","Call of Duty: Ghosts","PS3","2013","Shooter","Activision",4.1,3.63,0.38,1.25,9.36,71,10,25,1047,"Infinity Ward","M"
"73","Minecraft","X360","2013","Misc","Microsoft Game Studios",5.7,2.65,0.02,0.81,9.18,NA,NA,1,NA,"",""
"74","Animal Crossing: New Leaf","3DS","2012","Simulation","Nintendo",2.03,2.36,4.39,0.39,9.16,88,70,86,626,"Nintendo","E"
"76","The Elder Scrolls V: Skyrim","X360","2011","Role-Playing","Bethesda Softworks",5.05,2.79,0.1,0.85,8.79,96,89,83,3589,"Bethesda Game Studios","M"
"78","FIFA 16","PS4","2015","Sports","Electronic Arts",1.12,6.12,0.06,1.28,8.57,82,42,42,896,"EA Sports","E"
